epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1544.99,1.18393,0.88806,1.57423,0.91378,0.78513,0.88769,0.47282,1.59988,0.85031,1.9526,0.00106188,0.00106188,0.00106188
112,1558.56,1.23469,0.90218,1.60738,0.92934,0.81481,0.88278,0.47389,1.57055,0.82254,1.99167,0.00105638,0.00105638,0.00105638
113,1572.18,1.20344,0.92641,1.59506,0.8801,0.81557,0.86688,0.47392,1.61532,0.87335,2.05435,0.00105088,0.00105088,0.00105088
114,1585.69,1.26399,0.92326,1.64324,0.8597,0.81481,0.88237,0.48257,1.58605,0.84158,1.99238,0.00104538,0.00104538,0.00104538
115,1599.22,1.20358,0.90399,1.58634,0.82174,0.82716,0.86942,0.44755,1.69268,0.90832,2.01931,0.00103987,0.00103987,0.00103987
116,1612.85,1.1957,0.89258,1.57837,0.86535,0.77778,0.86505,0.46411,1.61324,0.86928,1.97174,0.00103437,0.00103437,0.00103437
117,1626.34,1.18286,0.89277,1.5834,0.86656,0.82716,0.86671,0.47143,1.64199,0.90254,2.03483,0.00102887,0.00102887,0.00102887
118,1639.83,1.2022,0.91564,1.62466,0.89498,0.80247,0.87453,0.4736,1.60407,0.88185,1.98319,0.00102337,0.00102337,0.00102337
119,1653.43,1.14548,0.85225,1.54261,0.92835,0.80247,0.88639,0.4937,1.5436,0.82632,1.95664,0.00101787,0.00101787,0.00101787
120,1667.24,1.16471,0.88401,1.56978,0.90898,0.77778,0.89076,0.50325,1.56207,0.80989,1.95746,0.00101237,0.00101237,0.00101237
121,1680.72,1.17632,0.89267,1.58425,0.90827,0.8642,0.91478,0.45506,1.71413,0.85597,2.06226,0.00100687,0.00100687,0.00100687
122,1694.21,1.16981,0.86242,1.57339,0.91406,0.82716,0.90229,0.48972,1.54221,0.85077,1.9334,0.00100137,0.00100137,0.00100137
123,1707.8,1.18227,0.87076,1.57105,0.9043,0.80247,0.90297,0.5022,1.63334,0.82515,1.97797,0.000995866,0.000995866,0.000995866
124,1721.25,1.16328,0.85893,1.55617,0.86679,0.8642,0.87891,0.48968,1.54357,0.81287,1.96698,0.000990365,0.000990365,0.000990365
125,1734.75,1.16277,0.87856,1.54948,0.86601,0.90123,0.92382,0.49863,1.58116,0.75926,1.96633,0.000984864,0.000984864,0.000984864
126,1748.27,1.17245,0.84954,1.56638,0.81415,0.87654,0.87915,0.44364,1.66391,0.90947,2.04523,0.000979362,0.000979362,0.000979362
127,1761.86,1.17007,0.87877,1.58076,0.8121,0.85375,0.88241,0.45214,1.61674,0.89982,2.03108,0.000973861,0.000973861,0.000973861
128,1775.41,1.16632,0.86588,1.56243,0.86314,0.82716,0.88411,0.46162,1.60711,0.85735,2.02393,0.00096836,0.00096836,0.00096836
129,1788.88,1.14829,0.86199,1.54125,0.89363,0.82973,0.91238,0.49675,1.58534,0.78821,1.97038,0.000962859,0.000962859,0.000962859
130,1802.38,1.17275,0.87327,1.5747,0.8701,0.83951,0.84781,0.45116,1.5291,0.8259,1.96311,0.000957358,0.000957358,0.000957358
131,1815.91,1.16557,0.86693,1.56028,0.8316,0.79012,0.83499,0.47154,1.56815,0.84581,1.97348,0.000951857,0.000951857,0.000951857
132,1829.39,1.14261,0.83186,1.54469,0.8436,0.8657,0.89833,0.47999,1.53987,0.85597,1.96387,0.000946356,0.000946356,0.000946356
133,1843.63,1.14675,0.84855,1.54778,0.8852,0.76163,0.86813,0.44554,1.59984,0.90708,2.02044,0.000940855,0.000940855,0.000940855
134,1857.18,1.11744,0.80941,1.5243,0.88206,0.83103,0.90318,0.50777,1.54516,0.86362,2.00445,0.000935354,0.000935354,0.000935354
135,1870.7,1.13405,0.81762,1.54394,0.80604,0.77778,0.80888,0.453,1.53019,0.92054,1.95636,0.000929853,0.000929853,0.000929853
136,1884.22,1.14551,0.82857,1.53791,0.84461,0.8053,0.82879,0.44451,1.68141,0.91294,2.05491,0.000924352,0.000924352,0.000924352
137,1897.89,1.14155,0.8393,1.54085,0.88456,0.85141,0.91402,0.47754,1.57885,0.82612,1.97973,0.00091885,0.00091885,0.00091885
138,1911.35,1.14469,0.84683,1.54021,0.83128,0.77778,0.87157,0.48565,1.55765,0.87438,2.04067,0.000913349,0.000913349,0.000913349
139,1924.86,1.1276,0.83553,1.52647,0.86938,0.73953,0.84248,0.4807,1.59821,0.93608,1.96985,0.000907848,0.000907848,0.000907848
140,1938.71,1.1154,0.84304,1.52641,0.96375,0.76543,0.9248,0.50409,1.53992,0.80365,1.99127,0.000902347,0.000902347,0.000902347
141,1952.17,1.16049,0.8182,1.54906,0.86895,0.80247,0.91801,0.48393,1.53997,0.82985,1.98777,0.000896846,0.000896846,0.000896846
142,1965.66,1.13541,0.84742,1.53335,0.93785,0.85185,0.9329,0.52875,1.51057,0.78506,1.9446,0.000891345,0.000891345,0.000891345
143,1979.17,1.10763,0.81209,1.51059,0.93044,0.82576,0.90916,0.4879,1.5616,0.86058,1.95706,0.000885844,0.000885844,0.000885844
144,1992.93,1.13187,0.81214,1.51872,0.93016,0.82215,0.88958,0.52275,1.45877,0.87356,1.89506,0.000880343,0.000880343,0.000880343
145,2006.37,1.1192,0.81455,1.52528,0.87264,0.8459,0.90047,0.52582,1.50952,0.80263,1.93612,0.000874842,0.000874842,0.000874842
146,2019.89,1.12895,0.80717,1.52391,0.89521,0.84378,0.90931,0.53002,1.45093,0.8166,1.85058,0.00086934,0.00086934,0.00086934
147,2033.37,1.10185,0.81108,1.50219,0.95517,0.78916,0.88499,0.49679,1.54748,0.85804,1.94403,0.000863839,0.000863839,0.000863839
148,2046.83,1.08964,0.78736,1.50286,0.89476,0.8642,0.88653,0.50547,1.5332,0.89011,1.94469,0.000858338,0.000858338,0.000858338
149,2060.28,1.11544,0.78138,1.50447,0.9418,0.81481,0.91764,0.49706,1.57043,0.81369,1.94674,0.000852837,0.000852837,0.000852837
150,2073.81,1.08192,0.79074,1.49309,0.855,0.87359,0.93153,0.53141,1.47999,0.75571,1.89926,0.000847336,0.000847336,0.000847336
151,2087.3,1.09105,0.79898,1.52174,0.92904,0.83951,0.90182,0.51725,1.48067,0.75991,1.90108,0.000841835,0.000841835,0.000841835
152,2100.74,1.07939,0.81122,1.50074,0.92676,0.8642,0.90733,0.50085,1.53987,0.79597,1.97837,0.000836334,0.000836334,0.000836334
153,2114.16,1.09767,0.7969,1.50968,0.93228,0.83951,0.92479,0.51945,1.49339,0.78065,1.9187,0.000830833,0.000830833,0.000830833
154,2127.63,1.08999,0.78548,1.5071,0.8291,0.89844,0.92208,0.52526,1.48842,0.76425,1.91987,0.000825332,0.000825332,0.000825332
155,2141.14,1.0714,0.78332,1.50024,0.87644,0.87568,0.9085,0.5079,1.55045,0.76208,1.96904,0.000819831,0.000819831,0.000819831
156,2154.61,1.08113,0.7818,1.4824,0.87253,0.81481,0.88481,0.46881,1.55081,0.84131,1.96729,0.000814329,0.000814329,0.000814329
157,2168.08,1.0944,0.801,1.50078,0.91296,0.82716,0.89807,0.52467,1.52688,0.75909,1.92496,0.000808828,0.000808828,0.000808828
158,2181.54,1.09047,0.78899,1.49238,0.81413,0.75309,0.85788,0.48911,1.49614,0.82097,1.93449,0.000803327,0.000803327,0.000803327
159,2194.98,1.08131,0.78423,1.48504,0.84275,0.82716,0.90773,0.52663,1.43704,0.78165,1.85824,0.000797826,0.000797826,0.000797826
160,2208.44,1.09664,0.78963,1.4926,0.85097,0.87654,0.91254,0.52681,1.45742,0.7383,1.8503,0.000792325,0.000792325,0.000792325
161,2221.89,1.065,0.7711,1.46705,0.89839,0.83951,0.8777,0.47692,1.58522,0.83913,1.95999,0.000786824,0.000786824,0.000786824
